DEPTH,CKH,CPOR,DT,GR,DT4P,DT4S,DTC,DTCO,DTSM,DTST,NPHI,PHIE,RHOB,PSW,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
3603.8,-999.25,-999.25,83.889,71.383,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.297,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3604.3,-999.25,-999.25,85.917,64.901,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.281,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3604.8,-999.25,-999.25,87.74,58.784,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.284,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3605.3,-999.25,-999.25,88.994,58.183,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.269,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3605.8,-999.25,-999.25,88.517,61.87,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.266,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3606.3,-999.25,-999.25,89.622,62.62,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.262,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3606.8,-999.25,-999.25,92.694,61.214,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.261,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3607.3,-999.25,-999.25,91.197,59.215,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.253,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3607.8,-999.25,-999.25,88.223,62.129,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.235,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3608.3,-999.25,-999.25,81.647,63.219,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.241,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3608.8,-999.25,-999.25,76.293,65.317,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.248,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3609.3,-999.25,-999.25,81.072,64.425,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.243,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3609.8,-999.25,-999.25,81.548,61.638,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.22,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3610.3,-999.25,-999.25,81.968,62.308,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.194,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3610.8,-999.25,-999.25,81.137,62.085,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.198,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3611.3,-999.25,-999.25,83.175,65.43,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.218,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3611.8,-999.25,-999.25,84.491,67.212,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.225,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3612.3,-999.25,-999.25,84.258,72.92,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3612.8,-999.25,-999.25,85.16,77.506,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.256,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3613.3,-999.25,-999.25,83.4,74.628,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.265,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3613.8,-999.25,-999.25,86.17,70.797,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.243,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3614.3,-999.25,-999.25,90.812,64.918,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3614.8,-999.25,-999.25,91.502,63.708,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.249,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3615.3,-999.25,-999.25,92.633,62.881,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.277,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3615.8,-999.25,-999.25,85.919,64.081,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.292,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3616.3,-999.25,-999.25,90.53,64.27,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.276,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3616.8,-999.25,-999.25,89.103,62.44,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.244,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3617.3,-999.25,-999.25,88.189,61.004,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.224,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3617.8,-999.25,-999.25,84.52,59.182,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.226,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3618.3,-999.25,-999.25,88.83,61.404,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.255,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3618.8,-999.25,-999.25,84.602,59.684,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.264,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3619.3,-999.25,-999.25,84.918,63.29,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.247,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3619.8,-999.25,-999.25,87.107,63.172,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.227,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3620.3,-999.25,-999.25,86.561,66.31,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.218,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3620.8,-999.25,-999.25,85.724,64.102,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.22,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3621.3,-999.25,-999.25,83.383,60.883,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.217,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3621.8,-999.25,-999.25,78.574,60.196,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.207,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3622.3,-999.25,-999.25,76.198,60.079,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.194,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3622.8,-999.25,-999.25,76.501,61.628,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.18,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3623.3,-999.25,-999.25,83.241,61.329,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.183,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3623.8,-999.25,-999.25,82.728,60.644,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.207,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3624.3,-999.25,-999.25,83.724,59.717,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.216,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3624.8,-999.25,-999.25,89.28,57.47,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.206,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3625.3,-999.25,-999.25,86.611,56.817,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.176,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3625.8,-999.25,-999.25,87.483,59.633,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.152,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3626.3,-999.25,-999.25,87.409,60.525,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.144,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3626.8,-999.25,-999.25,84.845,62.316,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.156,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3627.3,-999.25,-999.25,86.126,64.025,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.19,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3627.8,-999.25,-999.25,86.268,65.185,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.222,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3628.3,-999.25,-999.25,88.247,68.169,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.242,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3628.8,-999.25,-999.25,89.872,61.921,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.248,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3629.3,-999.25,-999.25,88.216,60.633,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.254,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3629.8,-999.25,-999.25,87.195,58.848,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.257,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3630.3,-999.25,-999.25,87.867,59.949,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.254,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3630.8,-999.25,-999.25,84.464,61.526,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3631.3,-999.25,-999.25,87.447,62.754,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.253,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3631.8,-999.25,-999.25,87.388,65.876,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.262,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3632.3,-999.25,-999.25,89.068,66.275,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.272,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3632.8,-999.25,-999.25,87.372,64.193,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.269,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3633.3,-999.25,-999.25,86.777,62.282,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.269,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3633.8,-999.25,-999.25,87.242,60.878,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.256,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3634.3,-999.25,-999.25,86.898,58.882,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.223,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3634.8,-999.25,-999.25,86.947,60.924,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.179,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3635.3,-999.25,-999.25,86.372,60.462,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.167,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3635.8,-999.25,-999.25,84.884,65.097,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.196,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3636.3,-999.25,-999.25,85.733,65.636,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.23,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3636.8,-999.25,-999.25,84.692,63.98,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.254,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3637.3,-999.25,-999.25,84.633,60.415,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.24,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3637.8,-999.25,-999.25,85.201,60.21,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.201,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3638.3,-999.25,-999.25,84.318,64.429,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.175,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3638.8,-999.25,-999.25,84.185,64.556,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.168,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3639.3,-999.25,-999.25,84.667,63.628,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.204,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3639.8,-999.25,-999.25,81.974,59.855,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.244,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3640.3,-999.25,-999.25,85.63,57.967,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3640.8,-999.25,-999.25,86.615,57.204,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.207,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3641.3,-999.25,-999.25,87.873,58.971,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.189,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3641.8,-999.25,-999.25,91.436,60.742,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.178,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3642.3,-999.25,-999.25,92.478,57.062,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.162,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3642.8,-999.25,-999.25,87.831,56.521,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.161,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3643.3,-999.25,-999.25,95.086,55.287,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.186,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3643.8,-999.25,-999.25,95.421,58.047,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.22,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3644.3,-999.25,-999.25,94.13,57.522,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3644.8,-999.25,-999.25,88.773,59.247,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.234,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3645.3,-999.25,-999.25,94.019,60.339,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3645.8,-999.25,-999.25,94.043,61.421,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.256,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3646.3,-999.25,-999.25,89.514,62.704,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.268,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3646.8,-999.25,-999.25,92.874,59.618,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.268,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3647.3,-999.25,-999.25,96.194,58.743,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3647.8,-999.25,-999.25,88.632,55.08,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.234,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3648.3,-999.25,-999.25,89.158,57.42,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3648.8,-999.25,-999.25,88.313,54.393,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.249,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3649.3,-999.25,-999.25,86.773,57.09,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.265,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3649.8,-999.25,-999.25,88.341,60.117,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.262,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3650.3,-999.25,-999.25,88.773,66.511,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.253,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3650.8,-999.25,-999.25,89.169,70.17,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.242,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3651.3,-999.25,-999.25,89.241,67.143,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.24,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3651.8,-999.25,-999.25,89.829,65.726,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.24,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3652.3,-999.25,-999.25,88.26,61.601,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.249,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3652.8,-999.25,-999.25,88.828,61.712,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.256,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
3653.3,-999.25,-999.25,86.648,60.861,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,2.26,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
