DEPTH,CKH,CPOR,DT,DTSM,GR,NPHI,PHIE,RHOB,RT,RXO,SW,TEMP,VCL,VDOL,VLIM
-398.58,-999.25,-999.25,-999.25,-999.25,9.241,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-398.08,-999.25,-999.25,-999.25,-999.25,8.135,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-397.58,-999.25,-999.25,-999.25,-999.25,8.237,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-397.08,-999.25,-999.25,-999.25,-999.25,8.928,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-396.58,-999.25,-999.25,-999.25,-999.25,9.355,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-396.08,-999.25,-999.25,-999.25,-999.25,9.651,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-395.58,-999.25,-999.25,-999.25,-999.25,10.285,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-395.08,-999.25,-999.25,-999.25,-999.25,11.02,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-394.58,-999.25,-999.25,-999.25,-999.25,11.168,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-394.08,-999.25,-999.25,-999.25,-999.25,11.031,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-393.58,-999.25,-999.25,-999.25,-999.25,11.343,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-393.08,-999.25,-999.25,-999.25,-999.25,11.657,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-392.58,-999.25,-999.25,-999.25,-999.25,11.153,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-392.08,-999.25,-999.25,-999.25,-999.25,10.198,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-391.58,-999.25,-999.25,-999.25,-999.25,9.67,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-391.08,-999.25,-999.25,-999.25,-999.25,9.674,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-390.58,-999.25,-999.25,-999.25,-999.25,9.437,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-390.08,-999.25,-999.25,-999.25,-999.25,9.194,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
-389.58,-999.25,-999.25,-999.25,-999.25,8.977,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
